qF1_1,qF2_1,qF3_1,qF1_2,qF2_2,qF3_2,qF1_3,qF2_3,qF3_3,qH1_1,qH2_1,qH3_1,qH1_2,qH2_2,qH3_2,qH1_3,qH2_3,qH3_3
0.0,-8.083674493326913e-10,518.5336753926742,0.0,-6.02222992385372e-12,-0.10599845163107996,0.0,-9.999999999157344,0.0,0.0,-3.466889357167483e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.8296779052353133e-14,0.0,0.0,-2.5229116672610377e-17,0.0,0.0,-9.999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.935046852856377e-9,0.0,0.0,0.0,0.0,0.0,-10.000000003023873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.513647966575845,-1.3209364503233682e-8,0.0,0.0,-2.882911967893435e-11,0.0,0.0,-9.999999987095629,0.0,21.63374183388172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.3135202833541233e-9,0.0,0.0,-1.3667449640751378e-11,0.0,0.0,10.000000004668804,0.0,0.0,-1.3653599795427245e-9,0.0,0.0,0.0,0.0,0.0,10.000000000353385,0.0
0.0,-1.2802723040578152e-9,0.0,0.0,0.0,0.0,0.0,-10.000000001777398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.6090070501306525e-9,-46.01118254786556,0.0,0.0,-0.3481690461465814,0.0,-10.000000002343599,165.52918542640617,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.437134693088245,0.0,0.0,-0.22823103417717358,0.0,10.0,105.65716195559027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.2717717550691443e-9,0.0,0.0,-6.102454824382374e-13,-2.7755575615628914e-17,0.0,-10.000000000831752,-9.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
-8.718797199207541,-1.52046805443028e-9,0.0,0.0,0.0,0.0,0.0,-10.000000000754378,-10.000000000000007,26.654799049789823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-103.99596691291538,-6.379989309814955e-10,14.653835472117919,1.1309752199049408,0.0,0.8237513104616402,0.0,-10.000000002657702,-373.1384652460959,-0.20238613405403427,0.0,1.1388317878149997e-15,0.3348856210092388,0.0,6.40183370007761e-17,0.0,0.0,-2.8221527967028055e-14
14.698784962929453,-1.1761949207739365e-9,105.06125206524418,0.5958480956219856,0.0,0.0,0.0,-10.00000000204257,0.0,14.698784962929453,0.0,0.0,0.5958480956219856,0.0,0.0,0.0,0.0,0.0
44.354921146209435,3.3125524765285488e-9,0.0,0.22948665213795516,0.0,0.0,-18.11196486033815,-10.000000006634703,0.0,0.18107781648386378,-1.1520663558248063e-9,0.0,-0.4989799874810976,-2.5062765137506248e-11,0.0,9.920227812005171,7.448938101632599e-9,0.0
-22.013299380085282,1.5708521134996106e-9,0.0,0.1399313886025181,0.0,0.0,11.042330945263348,9.999999997202206,0.0,0.0,8.6300070807542e-9,0.0,0.0,0.0,0.0,10.0,9.99999998426813,0.0
0.0,2.411925617298496e-9,0.0,-0.0,-1.814653815967421e-13,0.0,10.0,9.999999999834095,0.0,-2.6645352591003757e-15,-2.276197359194768e-9,0.0,-7.105427357601002e-15,-4.738571031688743e-12,0.0,10.0,10.000000002331177,0.0
-4.508622755798363e-9,1.4189064519605021e-9,0.0,5.8894023189726185e-12,-2.861114647055779e-13,0.0,10.000000002951817,9.999999999979064,0.0,0.0,-1.629708482439654e-10,0.0,0.0,0.0,0.0,10.0,9.999999999900464,0.0
44.75330879999666,0.0,92.92648698241723,0.8611068942876471,0.0,0.0,-20.662590154758043,9.999999999999998,0.0,5.729520065449711e-8,-2.4330227054181306e-9,92.92648698241723,1.102427732435629e-9,-1.4513919572768847e-11,0.0,9.999999960744374,10.000000005685212,0.0
-3.517472637452658,0.0,-31.211823799449277,0.0,0.0,-0.37351004540331667,0.0,10.0,185.3531777643998,14.792879684444443,0.0,0.0,0.0,0.0,0.0,0.0,-1.4409278562624343e-9,0.0
0.0,-2.375386457861441e-9,0.0,0.0,-2.972259283187241e-12,0.0,0.0,-9.99999999963469,10.0,0.0,-7.721353793674684e-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.1154320626950421e-8,-55.591431955144,0.0,-6.911670780955286e-12,-0.034431164078192134,0.0,-9.999999995131807,32.25377461814354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-3.494001867166827e-9,4.440892098500626e-16,0.0,-1.9164796037156797e-12,-3.122502256758253e-17,0.0,-9.999999999003245,-9.999999999999986,0.0,-2.448172738980846e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.3171248799926248e-9,0.0,0.0,-7.580995913041727e-13,0.0,0.0,-10.000000001100302,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.185856953073776e-9,5.329070518200751e-15,0.0,-5.550631504580955e-12,2.7755575615628914e-17,0.0,-10.000000000445665,9.999999999999986,0.0,0.0,4.322661224379915e-9,0.0,0.0,-2.9905605032337695e-11,0.0,0.0,1.3038749412543204e-8
