,forward_RE,forward_FC,UP,DW,production_RE,production_FC,Offshore DK2,Offshore DK1,Onshore DK2,Onshore DK1
0,28.32,35.395866432405455,28.32,28.32,0.9950980392156864,1.0,0.2747014115092291,0.5060449050086355,0.6802469135802469,0.6595988538681948
1,10.07,35.1270348490075,10.07,10.07,1.0,1.0,0.3561346362649294,0.5414507772020726,0.7962962962962963,0.6710601719197707
2,-4.08,-3.707265525633173,-4.08,-4.08,1.0,0.7764855652900238,0.2790445168295331,0.2193436960276338,0.7283950617283951,0.63810888252149
3,-9.91,-17.37576585051124,-9.91,-9.91,0.9950980392156864,0.935937812569788,0.2280130293159609,0.2012089810017271,0.6987654320987654,0.6197707736389685
4,-7.41,-7.552285813805336,-7.41,-7.41,1.0,1.0,0.2214983713355048,0.2012089810017271,0.6901234567901234,0.6040114613180516
5,-12.55,-24.411926856600395,-12.55,-12.55,0.9950980392156864,0.9869321885718952,0.2214983713355048,0.2012089810017271,0.6876543209876543,0.6137535816618911
6,-17.25,-11.98053922291459,-17.25,-17.25,0.9950980392156864,1.0,0.2214983713355048,0.199481865284974,0.7197530864197531,0.6638968481375358
7,-15.07,-19.07084618193216,-15.07,-15.07,0.9950980392156864,0.9647871410873832,0.2280130293159609,0.2012089810017271,0.662962962962963,0.6527220630372493
8,-4.93,-8.863564767245384,-4.93,-4.93,1.0,1.0,0.3865363735070575,0.199481865284974,0.6901234567901234,0.6510028653295129
9,-6.33,-6.185262210349292,-6.33,-6.33,1.0,0.8031105951292453,0.3865363735070575,0.1951640759930915,0.682716049382716,0.7558739255014326
10,-4.93,-3.939766079359289,-4.93,-4.93,1.0,1.0,0.3865363735070575,0.1908462867012089,0.7098765432098766,0.7578796561604585
11,0.45,2.971076435621053,0.45,0.45,1.0,0.9641974969547942,0.3865363735070575,0.3601036269430052,0.7024691358024692,0.757593123209169
12,0.12,0.6873808230752142,0.12,0.12,1.0,1.0,0.3865363735070575,0.3816925734024179,0.7061728395061728,0.7481375358166189
13,-0.02,-1.7160405284065174,-0.02,-0.02,0.9950980392156864,0.8857206631213986,0.3854505971769815,0.121761658031088,0.6888888888888889,0.7564469914040115
14,0.0,0.5504117398843241,0.0,0.0,0.9019607843137256,0.7980987752479037,0.3854505971769815,0.0837651122625215,0.6938271604938272,0.7859598853868195
15,-0.03,-7.598554491230835,-0.03,-0.03,0.931372549019608,0.8631251846885557,0.3854505971769815,0.0768566493955095,0.7135802469135802,0.7787965616045845
