qF1_1,qF2_1,qF3_1,qF1_2,qF2_2,qF3_2,qF1_3,qF2_3,qF3_3,qH1_1,qH2_1,qH3_1,qH1_2,qH2_2,qH3_2,qH1_3,qH2_3,qH3_3
0.0,7.876660932900538,0.0,0.0,-0.0040032602624735045,0.0,0.0,3.402358538026133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.883876496185879,0.0,0.0,-0.008624658703695918,0.0,0.0,5.335395496916902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.375802899254069,0.0,0.0,-0.014498717179986223,0.0,0.0,4.700644678295942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.513647966575845,8.609991226509663,0.0,0.0,-0.01539227437451441,0.0,0.0,4.596094223629055,0.0,21.63374183388172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.638564743149334,0.0,0.0,-0.025954455635999,0.0,0.0,8.776699159940856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.118218758319175,0.0,0.0,-0.020536260588156444,0.0,0.0,5.818159914154513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.23476571849506,0.0,0.0,-0.01158171653980927,0.0,0.0,5.957824054324908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.072257428054189,0.0,0.0,-0.01550490448812279,0.0,0.0,9.012311084123466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.176392236511831,0.0,0.0,-0.016445398969773917,0.0,0.0,8.993362145935366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.718797199207541,5.6735522121091195,0.0,0.0,-0.014158453715404638,0.0,0.0,6.927771201504721,0.0,26.654799049789823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-10.141395231483115,3.564667722092844,0.0,0.0,-0.01963791894943438,0.0,0.0,8.36383562395593,0.0,27.588272731782407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.55976702793347,8.91449600126842,0.0,0.0,0.009508212741786273,0.0,0.0,0.5505379984064902,0.0,15.699733166602446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.354847785976675,14.086063706349083,0.0,-0.16795763076408157,0.0019344685195281726,0.0,0.0,-8.83126824105369,0.0,15.760270692155624,0.0,0.0,0.2416254993218344,0.0,0.0,0.0,10.0,0.0
17.909445602189876,20.447567227710454,0.0,0.17700647665485425,-0.002676342671635795,0.0,-14.526224059852442,-9.034599236536664,0.0,-1.4210854715202004e-14,0.0,0.0,6.418476861114186e-17,0.0,0.0,10.000000000000009,9.999999999999995,0.0
-258.2523158383298,17.411260999942765,0.0,-7.791905977606898,0.004009175106388673,0.0,163.22337456724463,-11.441399008073388,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,10.0,9.999999999999998,0.0
-57.27119396025925,8.637165621532949,0.0,-1.13906527499588,-0.008527162455477225,0.0,34.28762359229273,-5.417644885954527,0.0,-2.1316282072803006e-14,0.0,0.0,-3.885780586188048e-16,0.0,0.0,10.000000000000014,10.0,0.0
-5.751166580176221,23.61188021025686,0.0,1.025777311805395,0.008414885964947508,0.0,0.0,-10.612871905051882,0.0,13.860193731522894,0.0,0.0,0.7557462524894065,0.0,0.0,0.0,10.000000000000004,0.0
-3.517472637452658,-2.302924739831601,0.0,0.0,-0.024019905869833536,0.0,0.0,12.399430935577309,0.0,14.792879684444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-6.166126229443569,0.0,0.0,-0.019235360450987248,0.0,0.0,13.067346882913233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-2.978103419457489,32.67280398722947,0.0,-0.02178451954614166,0.0,0.0,13.466663661017112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0213064292075344,32.18881992324898,0.0,-0.01412476416374092,0.0,0.0,7.02933435409057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.0716527939659186,0.0,0.0,-0.001285360051074764,0.0,0.0,3.3088717761869764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.372375962380519,0.0,0.0,-0.0031464059090911224,0.0,0.0,2.6754050150896016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.435745689815887,0.0,0.0,-0.0015033482386621149,0.0,0.0,0.7929874399539167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
