qF1,qF2,qF3,qH1,qH2,qH3
9.796750100575464,-0.004372846373161362,-9.816734008500807,0.0,0.0,10.0
9.840315714601777,-0.005016785592152755,-9.793609440738834,0.0,0.0,9.999999999999998
9.47656684595844,0.01797167712653085,-10.10765034598792,0.0,0.0,10.0
9.705882352941185,0.0,-10.000000000000009,0.0,0.0,10.0
9.976149620097077,-0.011198448387399225,-9.508193742919097,0.0,0.0,10.0
8.47051268487698,0.12127581452668465,-6.987892557211543,0.9937818440884083,-0.14575858505827977,8.356339681391178
7.489926794241866,-0.044159827960324215,2.638136706843074,0.0,0.0,0.0
9.265447587790614,-0.013876843583424971,0.6963910923549665,0.0,0.0,0.0
8.096960731148185,-0.023871787665136573,1.5443392142733325,0.0,0.0,0.0
9.804683466757862,-0.0038822606488200886,0.17435232573851017,0.0,0.0,0.0
9.01279623497005,-0.0032076808425972026,0.1071044633343206,0.0,0.0,0.0
9.39737445748334,-0.007529159971850588,0.3507082714888004,0.0,0.0,0.0
8.542750421827302,-0.020867350732909285,0.9805568109394074,0.0,0.0,0.0
9.329697960550545,0.08628258564621002,-7.037693346299823,-1.301501971799957,-0.1344569698273021,8.727036870528083
11.245853764349176,0.11131209707789036,-7.376045289520137,-1.3486097575257396,-0.12383790469399049,8.006465292167524
9.199719806876967,-0.02297708649424645,0.8007397348529182,0.02259395201359022,-0.0006426732354814106,0.03900383866136681
9.705882352941178,0.0,0.294117647058823,0.0,0.0,0.0
8.802149208193642,0.0025635735696719255,0.7981692663394537,0.0,0.0,0.0
8.214137391140282,-0.023159152426395622,2.0109581829336185,0.0,0.0,0.0
8.09909853777525,-0.014899532588757244,1.2080415285387278,0.0,0.0,0.0
8.589446162992964,-0.02111762688642784,1.1944167972473378,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0
7.729429344436908,0.0447440687479006,-4.442469420582634,1.2886626937611954,-0.19184312302413206,8.80559934680766
8.613857230878489,-0.033874456723399594,-8.59793623621849,0.08807358748083871,0.0,9.911926412519161
