qF1,qF2,qF3,qH1,qH2,qH3
6.678925073959408,-0.003152050467953382,-9.743083925568353,0.0,0.0,10.000000000000002
9.75366021644272,0.01485442661913245,-10.145870469399881,0.0,0.0,10.0
9.34416202406341,0.0021848027795461065,-9.95308740050336,0.0,0.0,10.0
8.767022849871097,0.012193680277483576,-10.085843509153484,0.0,0.0,10.000000000000002
9.754901960784313,0.0,-10.0,0.0,0.0,10.0
9.173412037442896,-0.004870303809551595,-9.389507417472704,0.0,0.0,10.0
7.838590958784348,0.09814747487704854,-7.5611458346408424,1.7999493001880564,-0.10075010074716727,7.696300196076107
0.7809815697344523,0.010428055238027544,-1.1544982896821359,8.305611207364507,-0.016626325116627347,1.6958851618959896
-0.16831106202203575,0.009351597703040147,-0.45911297769520687,9.642132906777741,-0.0033016615298667733,0.3609376384450356
7.235798498879532,0.049043334668444204,-7.171369439124122,2.358539179060885,-0.06215920909790288,7.7247541611303046
7.590779617887592,0.05704761236507862,-7.461848360397605,2.209073933491465,-0.05850047566807617,7.611914610964222
11.331883003919227,0.06871487344241577,-10.103759458898049,-2.145577845712385,-0.06840209007451353,10.086068431609498
8.298063164380123,0.05795118244871948,-7.924469059073816,1.3648060331277805,-0.06007068807780717,7.982225587466456
7.826582984666209,0.06293286285677797,-6.556216962775213,2.018877439185387,-0.07278234813800744,6.895105028432603
9.407018742068477,-0.002652975094226134,-9.799461612627447,0.0033439026025110508,-0.0001229375956805559,9.994824327221849
6.227934541141058,0.03971434084659986,-6.618003760274716,2.943552324652524,-0.04148555529766124,6.7361791884495315
7.021214370885561,0.05110750625186358,-7.197461065040068,2.558602838513142,-0.048352430138092005,7.154709087533474
5.367352648894528,0.042748429926229285,-5.5825174640662825,5.267473591265566,-0.036541783713492655,4.7719915351450055
-0.06812300611185644,-0.001536650153829472,-0.06667428506195124,10.0,0.0,0.0
0.06278987157833697,0.0006675555096403445,-0.4020248495020272,10.0,0.0,0.0
8.327787918890897,0.10852761041854354,-8.837627288163201,1.1508837443848403,-0.11980979226600634,9.145046442512195
9.829638393465054,0.0,-10.000000000000002,0.0,0.0,9.999999999999998
9.636483530257085,0.0,-10.0,0.0,0.0,10.0
8.558230961243787,0.0,-10.0,0.0,0.0,9.999999999999998
