qF1,qF2,qF3,qF4,qF5,qF6,qF7,qH1,qH2,qH3,qH4,qH5,qH6,qH7
0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.005351604914657539,-6.384992197081983e-5,0.002493470163594845,0.0009425063651521667,0.15337965753108593,0.00405439008447511,-1.4019445805026312
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0007292895582753279,-0.00038043958384246655,0.004174405381625143,-0.0006191685059309157,-1.214694199452549,-0.0065562792412567445,2.7418115632367583
0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1011697557461907,0.0051833442776653416,-0.09242246961701005,0.0013330433650438878,-0.09383453448884599,-0.04677319623627692,11.01462750774478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.034895580118938806,-0.01078994375673956,-0.09808488511078511,0.01181741560682168,-5.398269767014427,-0.07204797519980594,31.291222110897806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08584309449992567,-0.035945646344840855,-0.011425785850236512,0.022305518300413166,3.5983732747320674,-0.053165281928383074,18.197215250579983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.03567275788949718,-0.004449663368534374,-0.031195043340792115,-0.0003975754756031487,1.45634231100461,-0.0026299625478407303,8.775138104847562
-0.1873475026354735,-0.00440311928808186,0.09497131544722065,0.0028386398089016367,-14.980126713549389,0.0007574283570239263,8.763259188217493,-0.021687644596967936,0.004572497955117866,0.016749124901846085,-0.0019367458055384262,-3.474666359718642,-0.0011319167675518944,2.6510294365974865
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000004
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999998
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000004
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,-0.004177861495584762,-0.0019682439835304573,0.00813453329984004,0.0020568185425968795,2.2127249652599814,-0.0003681256701559835,-0.5371665949695086
0.013249236461232244,-0.04239965948503935,-0.012139102957333388,0.01350682747642642,-28.1657815504289,-0.012282123697457344,19.405939897879865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.09373688675256293,0.011101978041228023,0.037928476687698956,-0.007173801157469263,-20.722219885737474,-0.06820739461473786,36.38586152019346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11635493685242418,0.022353059943621703,-0.002971954386983246,-0.015183504678586124,-4.706371784491691,0.048238198098728646,-30.568981043115695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
